index,ppt,trial,stimulus_left,stimulus_right,reward_left,reward_right,responses,feedback
175,2,80,4,2,1,0,1,1
176,2,81,4,3,1,0,1,1
177,2,82,3,2,0,1,2,1
178,2,83,2,3,0,1,1,0
179,2,84,1,2,0,0,2,0
180,2,85,3,1,1,0,1,1
181,2,86,1,4,0,1,2,1
182,2,87,3,4,0,0,2,0
183,2,88,4,1,1,1,1,1
184,2,89,4,1,1,0,1,1
185,2,90,1,3,0,0,2,0
186,2,91,1,3,0,0,1,0
187,2,92,1,3,0,1,2,1
188,2,93,4,1,1,1,1,1
189,2,94,1,2,0,0,2,0
190,2,95,1,2,0,0,1,0
191,2,96,3,2,1,0,1,1
192,3,1,4,2,1,0,1,1
193,3,2,4,2,1,0,2,0
194,3,3,3,1,1,0,2,0
195,3,4,3,1,1,0,2,0
196,3,5,3,4,1,0,2,0
197,3,6,3,4,1,0,1,1
198,3,7,1,3,0,0,1,0
199,3,8,1,2,1,0,2,0
200,3,9,2,4,0,1,1,0
201,3,10,2,4,1,1,2,1
202,3,11,4,1,1,0,1,1
203,3,12,2,1,0,0,1,0
204,3,13,1,3,1,1,2,1
205,3,14,2,3,1,1,1,1
206,3,15,2,1,0,0,1,0
207,3,16,2,1,0,1,2,1
208,3,17,1,4,0,1,2,1
209,3,18,3,4,0,1,1,0
210,3,19,3,1,0,0,2,0
211,3,20,2,4,1,1,1,1
212,3,21,4,1,1,1,1,1
213,3,22,2,3,1,1,2,1
214,3,23,3,4,0,1,1,0
215,3,24,1,4,0,0,2,0
216,3,25,4,2,1,0,1,1
217,3,26,3,4,0,1,1,0
218,3,27,3,2,1,0,2,0
219,3,28,2,1,0,0,2,0
220,3,29,4,2,1,0,2,0
221,3,30,3,4,1,0,2,0
222,3,31,4,3,1,0,1,1
223,3,32,2,4,1,1,1,1
224,3,33,1,2,0,1,1,0
225,3,34,2,3,0,1,2,1
226,3,35,4,3,1,1,1,1
227,3,36,1,3,1,0,1,1
228,3,37,2,1,0,0,2,0
229,3,38,1,2,0,0,1,0
230,3,39,3,1,0,0,2,0
231,3,40,4,3,0,1,2,1
232,3,41,3,2,0,1,2,1
233,3,42,2,1,0,0,1,0
234,3,43,4,1,1,0,2,0
235,3,44,1,3,1,0,2,0
236,3,45,3,2,0,1,2,1
237,3,46,4,3,1,0,1,1
238,3,47,4,2,1,1,1,1
239,3,48,1,3,0,0,2,0
240,3,49,3,1,1,0,2,0
241,3,50,4,1,1,0,1,1
242,3,51,1,3,0,1,1,0
243,3,52,1,2,0,0,2,0
244,3,53,4,3,1,0,1,1
245,3,54,2,3,1,1,1,1
246,3,55,2,1,0,1,1,0
247,3,56,2,4,1,1,1,1
248,3,57,1,4,0,1,2,1
249,3,58,4,2,1,1,2,1
250,3,59,3,1,0,0,1,0
251,3,60,3,1,1,0,1,1
252,3,61,1,3,1,1,2,1
253,3,62,4,1,0,0,1,0
254,3,63,2,4,0,1,1,0
255,3,64,4,1,0,0,1,0
256,3,65,3,4,1,0,1,1
257,3,66,4,2,1,0,2,0
258,3,67,3,2,1,0,1,1
259,3,68,2,3,0,1,2,1
260,3,69,4,1,1,1,2,1
261,3,70,2,3,1,1,1,1
262,3,71,1,4,0,1,2,1
263,3,72,4,1,1,0,1,1
264,3,73,3,4,0,1,2,1
265,3,74,3,2,1,0,2,0
266,3,75,4,2,1,0,1,1
267,3,76,4,3,1,0,2,0
268,3,77,2,1,0,0,1,0
269,3,78,3,2,0,1,1,0
270,3,79,3,1,0,0,2,0
271,3,80,1,4,0,1,2,1
272,3,81,3,2,1,0,1,1
273,3,82,1,2,1,0,1,1
274,3,83,1,3,0,1,1,0
275,3,84,1,4,0,1,2,1
276,3,85,1,2,0,0,2,0
277,3,86,3,2,0,1,2,1
278,3,87,1,4,0,0,1,0
279,3,88,2,3,1,1,2,1
280,3,89,1,2,0,1,2,1
281,3,90,4,3,0,1,1,0
282,3,91,2,4,1,1,1,1
283,3,92,4,3,1,1,1,1
284,3,93,1,4,0,1,2,1
285,3,94,2,4,1,1,2,1
286,3,95,2,3,1,1,2,1
287,3,96,1,2,0,0,2,0
288,4,1,1,4,0,1,1,0
289,4,2,1,4,1,0,2,0
290,4,3,1,4,0,1,1,0
291,4,4,1,2,0,0,1,0
292,4,5,1,2,0,1,2,1
293,4,6,1,4,1,0,1,1
294,4,7,2,3,1,0,2,0
295,4,8,2,3,1,0,1,1
296,4,9,3,2,1,1,2,1
297,4,10,3,1,0,0,1,0
298,4,11,1,2,0,0,2,0
299,4,12,4,3,1,0,1,1
300,4,13,1,4,0,1,1,0
301,4,14,3,1,0,0,1,0
302,4,15,4,2,0,0,2,0
303,4,16,3,4,1,0,2,0
304,4,17,1,2,0,1,1,0
305,4,18,3,1,0,0,1,0
306,4,19,1,3,1,1,1,1
307,4,20,4,1,1,0,1,1
308,4,21,2,4,0,1,2,1
309,4,22,3,4,1,1,2,1
310,4,23,1,4,0,1,2,1
311,4,24,2,3,1,0,1,1
312,4,25,3,2,0,1,2,1
313,4,26,2,1,0,0,1,0
314,4,27,2,3,0,1,1,0
315,4,28,3,2,1,1,1,1
316,4,29,2,1,0,0,2,0
317,4,30,2,4,0,1,2,1
318,4,31,4,3,1,0,2,0
319,4,32,1,4,0,1,2,1
320,4,33,1,2,0,0,1,0
321,4,34,4,3,1,1,1,1
322,4,35,3,1,1,1,2,1
323,4,36,3,4,1,1,2,1
324,4,37,4,2,1,1,1,1
325,4,38,3,1,1,0,2,0
326,4,39,2,1,0,0,2,0
327,4,40,2,4,0,1,1,0
328,4,41,2,3,1,0,2,0
329,4,42,4,2,0,1,1,0
330,4,43,2,4,1,1,2,1
331,4,44,3,4,1,0,2,0
332,4,45,3,4,0,1,1,0
333,4,46,3,2,0,1,2,1
334,4,47,2,4,1,1,1,1
335,4,48,4,3,1,1,1,1
336,4,49,3,2,1,0,1,1
337,4,50,4,3,1,1,2,1
338,4,51,2,4,1,1,1,1
339,4,52,1,3,0,1,2,1
340,4,53,4,1,0,1,1,0
341,4,54,1,4,0,1,1,0
342,4,55,3,1,0,0,2,0
343,4,56,1,3,0,1,2,1
344,4,57,1,3,0,1,1,0
345,4,58,4,1,1,0,1,1
346,4,59,4,1,1,0,2,0
347,4,60,2,3,1,0,1,1
348,4,61,4,2,1,0,1,1
349,4,62,4,2,1,0,2,0
350,4,63,2,4,1,1,1,1
351,4,64,4,2,1,1,1,1
352,4,65,2,1,0,0,1,0
353,4,66,4,1,1,0,1,1
354,4,67,4,1,1,0,1,1
355,4,68,3,2,0,0,2,0
356,4,69,2,1,0,0,1,0
357,4,70,1,2,0,0,1,0
358,4,71,1,3,0,1,2,1
359,4,72,4,3,1,0,2,0
360,4,73,1,2,0,0,2,0
361,4,74,3,4,1,1,2,1
362,4,75,3,1,1,1,1,1
363,4,76,3,2,1,0,1,1
364,4,77,1,2,0,0,1,0
365,4,78,3,4,0,1,2,1
366,4,79,3,4,1,1,2,1
367,4,80,4,3,1,0,2,0
368,4,81,2,3,1,0,2,0
369,4,82,2,1,0,0,2,0
370,4,83,2,4,0,1,2,1
371,4,84,2,1,0,0,1,0
372,4,85,2,1,0,0,2,0
373,4,86,2,3,0,1,2,1
374,4,87,1,3,1,1,2,1
375,4,88,3,2,0,0,1,0
376,4,89,3,1,1,0,2,0
377,4,90,1,3,1,1,2,1
378,4,91,4,1,0,1,1,0
379,4,92,1,3,1,1,1,1
380,4,93,4,1,1,0,2,0
381,4,94,4,3,1,1,1,1
382,4,95,4,2,0,0,1,0
383,4,96,4,2,0,1,1,0
384,5,1,4,1,1,0,1,1
385,5,2,4,1,1,0,2,0
386,5,3,1,3,0,0,2,0
387,5,4,1,3,0,0,1,0
388,5,5,4,1,1,0,1,1
389,5,6,4,1,1,0,1,1
390,5,7,4,1,0,0,1,0
391,5,8,2,1,0,0,1,0
392,5,9,3,4,0,1,2,1
393,5,10,4,1,1,0,1,1
394,5,11,2,4,1,1,1,1
395,5,12,2,4,0,0,2,0
396,5,13,3,4,0,1,2,1
397,5,14,1,2,0,1,2,1
398,5,15,3,4,1,1,2,1
399,5,16,2,4,0,1,2,1
400,5,17,2,3,1,0,1,1
401,5,18,4,2,1,0,1,1
402,5,19,2,1,0,0,1,0
403,5,20,3,1,1,0,2,0
404,5,21,1,2,0,1,2,1
405,5,22,2,3,1,1,1,1
406,5,23,3,2,1,0,2,0
407,5,24,2,3,0,1,1,0
408,5,25,1,4,1,1,2,1
409,5,26,4,2,1,1,1,1
410,5,27,3,2,1,1,2,1
411,5,28,1,4,0,1,2,1
412,5,29,4,3,1,0,1,1
413,5,30,1,4,0,0,2,0
414,5,31,4,1,1,0,1,1
415,5,32,2,3,1,1,1,1
416,5,33,3,4,1,1,2,1
417,5,34,4,3,0,0,1,0
418,5,35,3,4,0,1,2,1
419,5,36,3,2,1,0,2,0
420,5,37,3,2,1,1,2,1
421,5,38,1,2,1,0,2,0
422,5,39,4,2,1,0,1,1
423,5,40,1,3,0,0,2,0
424,5,41,3,4,1,1,2,1
425,5,42,4,3,1,1,1,1
426,5,43,3,2,1,1,2,1
427,5,44,4,2,1,0,1,1
428,5,45,4,2,1,0,1,1
429,5,46,3,1,0,0,2,0
430,5,47,1,2,0,1,2,1
431,5,48,4,2,1,0,1,1
432,5,49,2,4,0,1,2,1
433,5,50,4,1,0,0,1,0
434,5,51,2,1,0,1,1,0
435,5,52,3,4,1,1,2,1
436,5,53,2,4,0,0,2,0
437,5,54,1,2,0,1,2,1
438,5,55,3,2,0,1,2,1
439,5,56,1,2,0,0,2,0
440,5,57,3,1,1,0,2,0
441,5,58,2,4,0,1,2,1
442,5,59,4,3,1,0,1,1
443,5,60,3,1,0,0,2,0
444,5,61,4,3,0,0,1,0
445,5,62,1,3,0,0,1,0
446,5,63,3,1,1,0,2,0
447,5,64,2,4,0,1,2,1
448,5,65,4,2,1,1,1,1
449,5,66,1,3,1,1,1,1
450,5,67,2,3,0,1,1,0
451,5,68,1,4,0,0,2,0
452,5,69,2,4,1,1,2,1
453,5,70,1,2,0,0,2,0
454,5,71,1,3,1,0,1,1
455,5,72,2,1,1,0,1,1
456,5,73,1,4,0,1,2,1
457,5,74,2,3,0,1,1,0
458,5,75,1,3,1,1,1,1
459,5,76,1,4,0,0,2,0
460,5,77,3,4,0,1,2,1
461,5,78,2,1,0,0,1,0
462,5,79,3,1,1,0,2,0
463,5,80,2,1,1,0,1,1
464,5,81,1,4,0,0,2,0
465,5,82,2,1,0,1,1,0
466,5,83,2,3,0,1,1,0
467,5,84,2,1,0,0,1,0
468,5,85,2,3,1,0,1,1
469,5,86,4,2,1,0,1,1
470,5,87,1,3,1,0,1,1
471,5,88,4,3,1,1,1,1
472,5,89,1,4,1,1,2,1
473,5,90,1,2,1,0,2,0
474,5,91,3,1,1,0,2,0
475,5,92,4,3,1,1,1,1
476,5,93,4,3,1,1,1,1
477,5,94,3,2,1,1,2,1
478,5,95,3,1,1,0,2,0
479,5,96,3,2,0,1,2,1
480,6,1,1,2,0,0,2,0
481,6,2,3,1,1,0,2,0
482,6,3,1,2,0,0,1,0
483,6,4,3,1,1,0,1,1
484,6,5,3,2,0,0,1,0
485,6,6,3,2,0,0,1,0
486,6,7,1,4,0,1,2,1
487,6,8,1,3,0,0,2,0
488,6,9,3,2,0,0,2,0
489,6,10,3,2,1,1,2,1
490,6,11,1,2,0,1,2,1
491,6,12,2,3,0,0,2,0
492,6,13,2,1,0,0,2,0
493,6,14,2,1,0,0,2,0
494,6,15,4,2,1,1,2,1
495,6,16,2,4,1,1,1,1
496,6,17,2,3,1,1,2,1
497,6,18,3,2,0,0,1,0
498,6,19,4,1,1,0,1,1
499,6,20,3,4,1,1,1,1
500,6,21,2,1,0,0,1,0
501,6,22,3,1,0,1,1,0
502,6,23,4,2,0,1,1,0
503,6,24,4,1,1,1,2,1
504,6,25,4,1,1,1,1,1
505,6,26,4,2,0,1,2,1
506,6,27,2,1,1,0,2,0
507,6,28,1,2,0,1,2,1
508,6,29,3,4,1,1,1,1
509,6,30,4,2,0,1,2,1
510,6,31,1,4,1,0,1,1
511,6,32,2,1,0,0,2,0
512,6,33,2,4,0,1,2,1
513,6,34,3,4,1,0,2,0
514,6,35,1,3,0,1,2,1
515,6,36,4,2,1,0,2,0
516,6,37,4,1,1,1,1,1
517,6,38,3,1,0,1,2,1
518,6,39,3,4,1,1,2,1
519,6,40,3,1,0,1,1,0
520,6,41,3,4,1,1,2,1
521,6,42,1,4,0,1,2,1
522,6,43,4,2,1,1,1,1
523,6,44,2,4,1,1,1,1
524,6,45,1,2,0,0,2,0
525,6,46,2,3,1,1,2,1
526,6,47,4,3,1,1,2,1
527,6,48,1,2,0,1,2,1
528,6,49,1,3,0,1,1,0
529,6,50,3,2,0,0,2,0
530,6,51,2,4,0,1,1,0
531,6,52,2,3,0,1,2,1
532,6,53,2,3,0,1,2,1
533,6,54,1,4,1,0,2,0
534,6,55,4,3,0,1,2,1
535,6,56,3,4,1,1,1,1
536,6,57,1,3,0,0,2,0
537,6,58,1,3,0,1,2,1
538,6,59,1,2,0,1,1,0
539,6,60,3,1,0,0,1,0
540,6,61,2,1,0,0,2,0
541,6,62,1,3,0,0,1,0
542,6,63,4,2,0,1,2,1
543,6,64,2,4,1,1,2,1
544,6,65,1,4,0,1,2,1
545,6,66,4,1,1,0,2,0
546,6,67,3,2,0,0,2,0
547,6,68,1,4,0,1,1,0
548,6,69,2,4,1,1,2,1
549,6,70,4,3,1,0,1,1
550,6,71,4,3,0,1,1,0
551,6,72,3,1,0,1,1,0
552,6,73,4,1,1,1,1,1
553,6,74,3,4,1,1,2,1
554,6,75,4,3,1,1,1,1
555,6,76,1,3,0,1,2,1
556,6,77,2,3,0,0,1,0
557,6,78,3,2,1,1,2,1
558,6,79,1,4,0,1,2,1
559,6,80,1,2,0,0,1,0
560,6,81,2,3,0,1,2,1
561,6,82,2,1,0,0,1,0
562,6,83,4,1,1,0,1,1
563,6,84,2,4,0,1,2,1
564,6,85,3,1,0,0,1,0
565,6,86,2,3,0,1,2,1
566,6,87,1,4,0,1,2,1
567,6,88,2,4,0,1,2,1
568,6,89,4,2,1,0,1,1
569,6,90,4,3,1,1,2,1
570,6,91,4,3,1,1,2,1
571,6,92,4,3,1,0,1,1
572,6,93,3,4,1,0,1,1
573,6,94,4,1,1,0,1,1
574,6,95,2,1,1,0,2,0
575,6,96,1,3,0,0,2,0
576,7,1,2,3,0,1,1,0
577,7,2,2,1,1,0,2,0
578,7,3,1,4,0,1,2,1
579,7,4,2,3,0,1,1,0
580,7,5,2,1,1,0,2,0
581,7,6,1,4,0,1,1,0
582,7,7,2,1,0,0,2,0
583,7,8,1,3,0,1,2,1
584,7,9,3,1,1,0,2,0
585,7,10,2,1,0,1,1,0
586,7,11,1,4,1,1,2,1
587,7,12,2,1,0,0,2,0
588,7,13,4,3,1,0,2,0
589,7,14,2,4,0,1,2,1
590,7,15,2,4,0,1,2,1
591,7,16,1,2,0,1,2,1
592,7,17,3,2,1,1,1,1
593,7,18,4,2,0,1,2,1
594,7,19,1,3,0,1,2,1
595,7,20,4,2,1,1,1,1
596,7,21,4,3,1,0,1,1
597,7,22,3,4,1,1,1,1
598,7,23,3,2,0,1,1,0
599,7,24,3,1,0,1,1,0
600,7,25,2,3,0,0,2,0
601,7,26,3,2,1,0,2,0
602,7,27,1,3,0,1,2,1
603,7,28,2,3,1,1,2,1
604,7,29,2,1,1,0,1,1
605,7,30,3,1,0,0,1,0
606,7,31,1,2,0,0,2,0
607,7,32,3,2,1,0,1,1
608,7,33,4,1,1,0,1,1
609,7,34,4,3,1,0,1,1
610,7,35,1,3,0,1,2,1
611,7,36,1,3,0,1,2,1
612,7,37,3,1,0,1,1,0
613,7,38,4,2,0,1,1,0
614,7,39,2,3,1,1,2,1
615,7,40,4,2,1,0,1,1
616,7,41,3,1,0,0,1,0
617,7,42,4,3,1,0,1,1
618,7,43,1,4,0,0,2,0
619,7,44,1,2,0,0,2,0
620,7,45,3,4,0,1,1,0
621,7,46,1,2,0,1,1,0
622,7,47,4,1,1,1,1,1
623,7,48,1,3,0,1,2,1
624,7,49,4,1,1,0,1,1
625,7,50,1,3,0,1,2,1
626,7,51,3,2,1,1,1,1
627,7,52,2,1,1,0,2,0
628,7,53,4,1,0,1,1,0
629,7,54,3,4,0,1,2,1
630,7,55,3,4,0,1,1,0
631,7,56,4,1,1,1,1,1
632,7,57,1,4,0,1,2,1
633,7,58,3,4,0,1,1,0
634,7,59,4,2,1,1,1,1
635,7,60,2,3,1,1,2,1
636,7,61,1,2,0,0,1,0
637,7,62,3,4,1,1,2,1
638,7,63,2,3,0,0,2,0
639,7,64,2,4,1,1,1,1
640,7,65,2,4,0,0,1,0
641,7,66,4,2,0,0,2,0
642,7,67,4,3,1,0,1,1
643,7,68,2,3,1,1,2,1
644,7,69,4,2,1,0,1,1
645,7,70,1,4,1,1,2,1
646,7,71,3,2,0,1,1,0
647,7,72,4,1,1,0,1,1
648,7,73,3,4,1,1,2,1
649,7,74,2,4,0,1,2,1
650,7,75,2,1,0,1,2,1
651,7,76,3,1,1,0,1,1
652,7,77,4,1,0,1,1,0
653,7,78,1,2,0,0,1,0
654,7,79,2,4,1,1,2,1
655,7,80,1,4,0,1,2,1
656,7,81,2,4,0,0,2,0
657,7,82,3,1,1,0,2,0
658,7,83,1,4,0,0,2,0
659,7,84,2,4,0,1,2,1
660,7,85,4,2,0,0,1,0
661,7,86,3,2,1,0,1,1
662,7,87,4,3,1,0,1,1
663,7,88,3,4,1,1,1,1
664,7,89,1,2,0,0,1,0
665,7,90,1,2,0,0,1,0
666,7,91,1,3,0,1,2,1
667,7,92,4,3,1,0,1,1
668,7,93,4,3,1,0,2,0
669,7,94,4,1,1,0,1,1
670,7,95,3,2,1,0,1,1
671,7,96,3,1,1,0,1,1
672,8,1,4,2,1,1,1,1
673,8,2,3,4,1,1,2,1
674,8,3,4,2,1,1,1,1
675,8,4,3,4,1,0,2,0
676,8,5,4,2,0,1,1,0
677,8,6,2,1,0,0,1,0
678,8,7,3,4,1,1,2,1
679,8,8,1,2,0,0,2,0
680,8,9,2,1,1,0,2,0
681,8,10,3,4,1,0,2,0
682,8,11,4,3,1,0,1,1
683,8,12,2,4,0,1,2,1
684,8,13,4,2,1,1,1,1
685,8,14,2,4,0,1,1,0
