,trial,activation_0,activation_1,policy_0,policy_1,response,reward,error_0,error_1,error_2,error_3,values_0,values_1,values_2,values_3,dependent,ppt
0,1,0.0,0.0,0.5,0.5,0,1.0,0.5607070903014992,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.5,1
1,2,0.0,0.0,0.5,0.5,1,1.0,0.0,0.0,0.5607070903014992,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.5,1
2,3,0.5607070903014992,0.5607070903014992,0.5,0.5,0,1.0,0.24631464918712562,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.5,1
3,4,0.8070217394886249,0.5607070903014992,0.9736451214331432,0.026354878566856876,0,0.0,-0.4525028113587214,0.0,-0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.026354878566856876,1
4,5,0.0,0.0,0.5,0.5,1,1.0,0.0,0.5607070903014992,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.5,1
5,6,0.5607070903014992,0.3545189281299035,0.9535314407014421,0.046468559298557865,0,1.0,0.0,0.0,0.24631464918712562,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.046468559298557865,1
6,7,0.0,0.5607070903014992,0.0002701208614268093,0.9997298791385731,1,1.0,0.0,0.24631464918712562,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.9997298791385731,1
7,8,0.3545189281299035,0.0,0.9944862124303833,0.005513787569616697,0,0.0,-0.19878127664852452,-0.0,-0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.005513787569616697,1
8,9,0.8070217394886249,0.0,0.9999926863764061,7.313623593874608e-06,0,0.0,-0.0,-0.0,-0.4525028113587214,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,7.313623593874608e-06,1
9,10,0.15573765148137897,0.0,0.9073849765005687,0.0926150234994313,0,1.0,0.47338388488898625,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.0926150234994313,1
10,11,0.3545189281299035,0.0,0.9944862124303833,0.005513787569616697,0,1.0,0.0,0.0,0.3619258136529747,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.005513787569616697,1
11,12,0.8070217394886249,0.7164447417828782,0.7903900345257715,0.2096099654742285,0,1.0,0.0,0.10820427894277786,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.2096099654742285,1
12,13,0.0,0.6291215363703653,9.913904649037066e-05,0.9999008609535096,1,1.0,0.2079541841972629,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.9999008609535096,1
13,14,0.8370757205676281,0.9152260184314027,0.24137015599608175,0.7586298440039183,1,1.0,0.0,0.047533372538601106,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.7586298440039183,1
