,x_0,x_1,grad_0,grad_1,task,funcalls,nit,warnflag,hessian_0,hessian_1,hessian_2,hessian_3,ppt,fun
0,0.5607070903014992,14.653588386837995,7.10542732189794e-07,1.7763566924238386e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,45,12,0,161.65891041830403,-1.030274294581733,-1.030274294581733,0.07906282758116935,1,13.729247957029706
1,0.01400050363398503,9.980408136748995,-0.00071054273576432,-3.5527133848476773e-06,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,10,0,20851.926301369364,37.4559159466242,37.4559159466242,0.09877471803441827,2,50.814651040018234
2,0.4770921283777038,1.9661337777680876,7.887024371088494e-05,6.394884660705628e-06,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,7,0,57.07714991755196,5.443753751482228,5.443753751482228,2.448868726320392,3,48.17820062885547
3,0.7963708126652502,10.322221030359188,3.55271366094897e-06,7.105426769695354e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,72,18,0,197.86993882650353,-2.948345895204638,-2.948345895204638,0.10371271434256761,4,29.239348286039686
4,0.43734999330024193,4.920922756841492,7.105427361340985e-07,7.105427400784031e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,8,0,117.97959588909528,2.2363710846152887,2.2363710846152887,0.7657902830380475,5,32.520229576195646
5,0.991735938108429,9.874954846534441,-7.460698687992837e-06,-3.552713384847677e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,39,10,0,360.64080872578205,-1.0828941280722197,-1.0828941280722197,0.04216330617979704,6,28.91086974744726
6,0.48710268361003184,6.588723724473826,-3.5527136806704924e-07,-3.5527137003920156e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,10,0,139.38164405612955,1.5238143191712616,1.5238143191712616,0.38574059872221766,7,31.247253346879706
7,0.01442762983587807,9.959056250253084,-1.42108547152864e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,45,13,0,19672.54805597184,35.514918265522795,35.514918265522795,0.09604655589377599,8,50.789303505947224
8,0.10209776116000396,11.586638489819933,-1.7763568403352463e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,45,13,0,1039.2096317130456,8.393273792652504,8.393273792652504,0.14910802037529902,9,24.100804052734254
9,0.668440278094523,11.828119548112078,7.10542732189794e-07,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,10,0,127.01382032615912,-1.6831072073105398,-1.6831072073105398,0.09067252504382017,10,21.59892366929661
10,0.37958416698985364,7.608477599001538,1.421085472268197e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,12,0,176.85876121761163,1.8648932971954566,1.8648932971954566,0.3283711395389841,11,26.71669981080529
11,0.4313018479556117,3.9462596346979044,7.105427361340985e-07,1.4210854801568062e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33,9,0,81.06438691426037,3.5604844887227514,3.5604844887227514,1.2065447122883974,12,35.25531115678112
12,0.6834760860207606,9.10923960501013,-7.10542732189794e-07,-1.0658140154543033e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33,9,0,78.01876743357296,-1.7251627385902213,-1.7251627385902213,0.15434940732938765,13,23.09227716994073
13,0.5866749752077058,0.6053167212505698,-4.973799125328558e-06,0.00011084466622160787,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,7,0,20.478549408088078,-0.3653092273126745,-0.3653092273126745,4.298343081466768,14,53.12631993682794
14,0.3651861661487703,10.319242134126636,7.105427361340985e-07,-1.7763566924238386e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,9,0,129.94183421954088,0.5891863062251214,0.5891863062251214,0.14783629320728137,15,14.882300118927386
15,0.7999921207834294,8.097716883640013,-1.421085464379588e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,39,11,0,122.60860474495347,-3.1325016192081114,-3.1325016192081114,0.14771155224897783,16,25.974456273653857
16,0.5940190732448647,10.119348877041718,-7.10542732189794e-07,-1.0658140154543033e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,48,14,0,84.57503779537232,-0.8152111874439456,-0.8152111874439456,0.14199216802349512,17,20.675597312590426
17,0.5280672823441941,14.029176621589173,-8.881784152372425e-07,-1.7763566924238386e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,39,11,0,168.33847568586995,-0.8207829295856842,-0.8207829295856842,0.07733354604838458,18,14.687871659720566
18,0.4929904192516116,15.23314354562006,3.5527136806704924e-07,1.7763566924238386e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,10,0,199.6424300071851,-0.9878545324343629,-0.9878545324343629,0.07373139321311085,19,12.382004339125865
19,0.5034833201635867,13.741849484696555,-8.171241420182631e-05,1.9539923616662227e-06,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,11,0,105.78262597910553,-0.8956342704519303,-0.8956342704519303,0.09568434193124857,20,13.755086514634955
20,0.36887172065409085,8.016041710665576,7.105427361340985e-07,-7.105426769695354e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,12,0,183.83515447329233,0.9562523402749185,0.9562523402749185,0.22919965000002523,21,25.431839819086985
