,trial,activation_0,activation_1,policy_0,policy_1,response,reward,error_0,error_1,error_2,error_3,values_0,values_1,values_2,values_3,dependent,ppt
0,1,0.0,0.0,0.5,0.5,0,1.0,0.5607070433253029,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.5,1
1,2,0.0,0.0,0.5,0.5,1,1.0,0.0,0.0,0.5607070433253029,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.5,1
2,3,0.5607070433253029,0.5607070433253029,0.5,0.5,1,1.0,0.2463146548906998,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.5,1
3,4,0.8070216982160027,0.5607070433253029,0.9736451408194225,0.026354859180577412,0,0.0,-0.4525027503060597,0.0,-0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.026354859180577412,1
4,5,0.0,0.0,0.5,0.5,1,1.0,0.0,0.5607070433253029,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.5,1
5,6,0.5607070433253029,0.354518947909943,0.9535314222794408,0.04646857772055925,0,1.0,0.0,0.0,0.2463146548906998,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.04646857772055925,1
6,7,0.0,0.5607070433253029,0.0002701206342686357,0.9997298793657313,1,1.0,0.0,0.2463146548906998,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9997298793657313,1
7,8,0.354518947909943,0.0,0.9944862193226522,0.005513780677347784,0,0.0,-0.19878127108538118,-0.0,-0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.005513780677347784,1
8,9,0.8070216982160027,0.0,0.9999926863880835,7.313611916489408e-06,0,0.0,-0.0,-0.0,-0.4525027503060597,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,7.313611916489408e-06,1
9,10,0.1557376768245618,0.0,0.90738504341152,0.09261495658848,0,1.0,0.4733838310186513,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.09261495658848,1
10,11,0.354518947909943,0.0,0.9944862193226522,0.005513780677347784,0,1.0,0.0,0.0,0.3619257722399217,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.005513780677347784,1
11,12,0.8070216982160027,0.7164447201498647,0.7903900277817542,0.20960997221824584,0,1.0,0.0,0.10820429301924316,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.20960997221824584,1
12,13,0.0,0.6291215078432131,9.913891780590076e-05,0.9999008610821941,1,1.0,0.20795418277017852,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9999008610821941,1
13,14,0.8370756906133916,0.9152259912352458,0.24137010955900773,0.7586298904409923,1,1.0,0.0,0.047533383805318616,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.7586298904409923,1
14,15,0.9627593750405644,0.0,0.999999253509518,7.46490482006671e-07,0,1.0,0.0,0.020881080712591604,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,7.46490482006671e-07,1
15,16,0.8370756906133916,0.0,0.9999952916339018,4.708366098244083e-06,0,1.0,0.09135280780198209,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,4.708366098244083e-06,1
16,17,0.9284284984153737,0.7164447201498647,0.9571528354343107,0.04284716456568938,0,1.0,0.04013064503986806,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.04284716456568938,1
17,18,0.0,0.7164447201498647,2.7577355824777138e-05,0.9999724226441752,1,1.0,0.0,0.0,0.15899144258404818,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9999724226441752,1
18,19,0.9836404557531561,0.8754361627339129,0.8299935379487308,0.17000646205126932,0,1.0,0.0,0.009172911684797332,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.17000646205126932,1
