ppt,trial,block,stake,s1,s2,choice,stimuli_left,stimuli_right,points,rews_1,rews_2,rt_1,rt_2,timeout_1,timeout_2,missed,score
101,59,2,1,1,2,1,1,2,1,0.444444,1,0.661014,0.232329,0,0,0,111.667
101,60,2,1,2,2,3,3,4,0.666667,0.666667,0.666667,0.847653,0.3192,0,0,0,112.333
101,61,2,1,1,2,1,1,2,0.777778,0.666667,0.777778,0.623492,0.314927,0,0,0,113.111
101,62,2,5,1,2,1,1,2,1,0.888889,1,0.985138,0.277923,0,0,0,118.111
101,63,2,1,1,2,1,2,1,0.888889,0.111111,0.888889,1.0895,0.452375,0,0,0,119
101,64,2,1,1,2,1,2,1,0.666667,0,0.666667,1.1671,0.477873,0,0,0,119.667
101,65,2,5,1,2,1,1,2,0.888889,0,0.888889,0.903439,0.858599,0,0,0,124.111
101,66,2,5,1,2,1,2,1,0.777778,0,0.777778,0.689004,0.275168,0,0,0,128
101,67,2,1,1,2,1,2,1,0.888889,0,0.888889,0.599137,0.482746,0,0,0,128.889
101,68,2,5,2,2,3,4,3,0.888889,0.222222,0.888889,0.964347,0.238205,0,0,0,133.333
101,69,2,1,2,2,3,4,3,0.555556,0.444444,0.555556,0.533335,0.356292,0,0,0,133.889
101,70,3,5,2,1,4,3,4,0.444444,0.444444,0.555556,0.507596,0.359401,0,0,0,136.111
101,71,3,1,1,2,1,1,2,0.444444,0.555556,0.444444,0.607927,0.395448,0,0,0,136.556
101,72,3,5,2,1,4,4,3,0.555556,0.555556,0.444444,0.571684,0.268147,0,0,0,139.333
101,73,3,1,1,1,2,1,2,0.111111,0.111111,0.333333,0.843596,0.266087,0,0,0,139.444
101,74,3,1,2,2,3,3,4,0,0.222222,0,0.922517,0.442941,0,0,0,139.444
101,75,3,5,2,1,4,4,3,0.333333,0.333333,0.111111,0.507848,0.503637,0,0,0,141.111
101,76,3,1,1,1,2,2,1,0.111111,0.111111,0,0.613084,0.357354,0,0,0,141.222
101,77,3,5,2,2,3,3,4,0.111111,0.111111,0.111111,1.2198,0.299049,0,0,0,141.778
101,78,3,1,1,1,2,2,1,0.333333,0.333333,0.111111,0.891898,0.301014,0,0,0,142.111
101,79,3,5,1,1,2,2,1,0.333333,0.333333,0.444444,0.549187,0.325741,0,0,0,143.778
101,80,3,1,1,1,2,2,1,0.444444,0.444444,0.222222,0.643304,0.594225,0,0,0,144.222
101,81,3,1,2,1,4,3,4,0.333333,0.333333,0.111111,0.583942,0.512345,0,0,0,144.556
101,82,3,5,1,2,1,1,2,0.333333,0.333333,0.333333,0.97872,0.420164,0,0,0,146.222
101,83,3,5,2,2,3,3,4,0.444444,0.111111,0.444444,1.0573,0.411532,0,0,0,148.444
101,84,3,5,2,2,3,4,3,0.444444,0.111111,0.444444,1.55835,0.417935,0,0,0,150.667
101,85,3,1,1,2,1,1,2,0,0.222222,0,1.14424,0.282183,0,0,0,150.667
101,86,3,5,2,1,4,3,4,0.555556,0.555556,0,1.49919,0.689135,0,0,0,153.444
101,87,3,5,2,1,4,3,4,0.777778,0.777778,0.111111,0.677232,0.283144,0,0,0,157.333
101,88,3,5,2,1,4,4,3,0.888889,0.888889,0.111111,0.447049,0.376184,0,0,0,161.778
101,89,3,5,2,1,4,3,4,0.777778,0.777778,0,0.503964,0.401059,0,0,0,165.667
101,90,3,5,2,1,4,3,4,0.777778,0.777778,0,0.590313,0.355455,0,0,0,169.556
101,91,3,5,1,1,2,1,2,0.777778,0.777778,0.111111,0.725926,0.308536,0,0,0,173.444
101,92,3,5,1,1,2,2,1,0.888889,0.888889,0,0.766456,0.344426,0,0,0,177.889
101,93,3,1,2,1,4,3,4,0.888889,0.888889,0.222222,0.564792,0.83707,0,0,0,178.778
101,94,3,1,1,1,2,2,1,0.555556,0.555556,0,0.662027,0.227877,0,0,0,179.333
101,95,3,5,2,1,4,3,4,0.666667,0.666667,0.555556,0.883751,1.32569,0,0,0,182.667
101,96,3,1,1,1,2,2,1,0.666667,0.666667,0.555556,0.745891,0.240492,0,0,0,183.333
101,97,3,5,2,1,4,4,3,0.555556,0.555556,0.555556,0.501554,0.222344,0,0,0,186.111
101,98,3,1,1,2,1,1,2,0.222222,0.222222,0.222222,1.0878,0.34034,0,0,0,186.333
101,99,3,5,1,1,2,2,1,0.222222,0.222222,0.333333,0.788862,0.248592,0,0,0,187.444
101,100,3,1,2,2,3,3,4,0.444444,0.333333,0.444444,0.871188,0.253247,0,0,0,187.889
101,101,3,5,1,2,1,1,2,0.333333,0.333333,0.333333,1.22454,1.02781,0,0,0,189.556
101,102,3,1,2,1,4,3,4,0.333333,0.333333,0.111111,0.69838,0.279774,0,0,0,189.889
101,103,3,1,1,2,1,2,1,0.111111,0.444444,0.111111,0.901289,0.272854,0,0,0,190
101,104,3,5,1,1,2,1,2,0.333333,0.333333,0.333333,1.00254,0.275299,0,0,0,191.667
101,105,4,5,1,1,2,2,1,0.111111,0.111111,0.222222,0.898754,0.33818,0,0,0,192.222
101,106,4,5,2,2,3,4,3,0.444444,0.222222,0.444444,0.821885,0.397104,0,0,0,194.444
101,107,4,1,1,2,1,2,1,0.111111,0.444444,0.111111,0.579052,0.359943,0,0,0,194.556
101,108,4,1,2,1,4,3,4,0.333333,0.333333,0.222222,0.609901,0.312259,0,0,0,194.889
101,109,4,1,1,2,1,1,2,0,0.111111,0,0.867226,0.379074,0,0,0,194.889
101,110,4,1,1,1,2,2,1,0.222222,0.222222,0.333333,0.741684,0.264602,0,0,0,195.111
101,111,4,5,2,1,4,4,3,0.555556,0.555556,0,0.708625,0.238977,0,0,0,197.889
101,112,4,5,2,1,4,4,3,0.666667,0.666667,0,0.567994,0.261542,0,0,0,201.222
101,113,4,1,1,1,2,1,2,0.888889,0.888889,0.222222,0.94429,0.229751,0,0,0,202.111
101,114,4,1,1,1,2,2,1,1,1,0.333333,0.791973,0.195912,0,0,0,203.111
101,115,4,1,2,1,4,3,4,0.888889,0.888889,0.333333,0.590958,0.357942,0,0,0,204
101,116,4,5,2,1,4,4,3,0.666667,0.666667,0.111111,0.473554,0.252606,0,0,0,207.333
101,117,4,5,2,1,4,3,4,0.888889,0.888889,0,0.495248,0.226397,0,0,0,211.778
101,118,4,5,1,1,2,1,2,0.777778,0.777778,0,0.718006,0.247546,0,0,0,215.667
101,119,4,1,2,1,4,4,3,0.888889,0.888889,0.222222,0.530627,0.215955,0,0,0,216.556
101,120,4,5,1,1,2,1,2,0.777778,0.777778,0.444444,0.580218,0.239462,0,0,0,220.444
101,121,4,5,2,1,4,4,3,0.555556,0.555556,0.444444,0.629646,0.551645,0,0,0,223.222
101,122,4,5,1,2,1,2,1,0.222222,0.666667,0.222222,0.846362,0.235585,0,0,0,224.333
101,123,4,1,2,1,4,4,3,0.444444,0.444444,0.666667,0.505081,0.228875,0,0,0,224.778
101,124,4,1,1,2,1,1,2,0.333333,0.111111,0.333333,1.38864,0.222163,0,0,0,225.111
101,125,4,5,2,1,4,3,4,0.111111,0.111111,0,0.722614,0.225361,0,0,0,225.667
101,126,4,5,2,2,3,4,3,0,0.111111,0,0.553158,0.258573,0,0,0,225.667
101,127,4,5,1,1,2,2,1,0.333333,0.333333,0,1.66842,0.256635,0,0,0,227.333
101,128,4,1,2,1,4,4,3,0.555556,0.555556,0.111111,0.603664,0.300357,0,0,0,227.889
101,129,4,1,2,1,4,4,3,0.888889,0.888889,0.111111,0.497607,0.624511,0,0,0,228.778
101,130,4,1,2,1,4,3,4,0.777778,0.777778,0.333333,0.714484,0.257396,0,0,0,229.556
101,131,4,1,2,1,4,4,3,0.777778,0.777778,0.555556,0.434964,0.326278,0,0,0,230.333
101,132,4,1,1,1,2,2,1,0.777778,0.777778,0.555556,1.74104,0.368617,0,0,0,231.111
101,133,4,5,2,1,4,4,3,0.777778,0.777778,0.555556,0.622596,0.218918,0,0,0,235
101,134,4,1,1,1,2,2,1,0.555556,0.555556,0.888889,0.684311,0.25526,0,0,0,235.556
101,135,4,1,2,1,4,3,4,0.222222,0.222222,1,0.588309,0.425062,0,0,0,235.778
101,136,4,5,2,2,3,3,4,1,0.111111,1,0.492126,0.277494,0,0,0,240.778
101,137,4,1,1,2,1,2,1,1,0.333333,1,0.981177,0.322062,0,0,0,241.778
101,138,4,5,1,2,1,2,1,0.777778,0.555556,0.777778,0.447278,0.282755,0,0,0,245.667
101,139,4,1,1,2,1,2,1,0.888889,1,0.888889,0.818904,0.186674,0,0,0,246.556
114,0,1,1,1,2,1,1,2,0.888889,0.333333,0.888889,1.33845,0.527914,0,0,0,0.888889
114,1,1,5,1,0,-1,2,1,0,0.666667,0.666667,-1,-1,1,0,1,0.888889
114,2,1,5,1,2,1,2,1,0.666667,0.666667,0.666667,0.375904,0.402141,0,0,0,4.22222
114,3,1,1,2,1,4,3,4,0.444444,0.444444,0.444444,0.814528,0.81363,0,0,0,4.66667
114,4,1,1,1,2,1,1,2,0.777778,0.555556,0.777778,0.851317,0.477607,0,0,0,5.44444
114,5,1,1,2,2,3,3,4,0.444444,0.444444,0.444444,1.07998,0.463974,0,0,0,5.88889
114,6,1,5,1,2,1,2,1,0.888889,0.333333,0.888889,0.451085,0.67669,0,0,0,10.3333
114,7,1,1,2,2,3,4,3,0.888889,0.333333,0.888889,1.16838,0.75789,0,0,0,11.2222
114,8,1,1,1,2,1,2,1,1,0.444444,1,1.06281,0.477311,0,0,0,12.2222
114,9,1,5,2,2,3,3,4,0.777778,0.666667,0.777778,0.999872,0.427762,0,0,0,16.1111
114,10,1,5,1,2,1,1,2,0.777778,0.888889,0.777778,0.913863,0.30797,0,0,0,20
114,11,1,1,2,2,3,3,4,0.444444,0.888889,0.444444,1.05144,0.700635,0,0,0,20.4444
114,12,1,1,2,2,3,4,3,0.222222,0.777778,0.222222,1.03544,0.687817,0,0,0,20.6667
114,13,1,1,1,2,1,1,2,0,0.777778,0.222222,1.13306,-1,0,1,1,20.6667
114,14,1,1,2,2,3,3,4,0.222222,1,0.222222,1.12668,0.333269,0,0,0,20.8889
114,15,1,1,1,1,2,2,1,0.888889,0.888889,0.444444,0.788453,0.553288,0,0,0,21.7778
114,16,1,5,2,1,4,4,3,0.888889,0.888889,0.222222,0.796783,0.394579,0,0,0,26.2222
114,17,1,1,1,0,-1,2,1,0,0.888889,0.111111,-1,-1,1,0,1,26.2222
114,18,1,1,2,1,4,3,4,0.777778,0.777778,0.222222,0.940458,0.579641,0,0,0,27
114,19,1,1,2,2,3,4,3,0,0.777778,0,0.750321,0.756849,0,0,0,27
114,20,1,1,2,2,3,3,4,0,0.777778,0,0.847238,0.801799,0,0,0,27
114,21,1,1,1,1,2,1,2,0.777778,0.777778,0,1.00607,0.517134,0,0,0,27.7778
114,22,1,1,2,1,4,4,3,0.777778,0.777778,0.555556,0.995162,0.339897,0,0,0,28.5556
114,23,1,1,1,2,1,1,2,0.888889,0.666667,0.888889,0.974861,0.458058,0,0,0,29.4444
114,24,1,1,1,1,2,2,1,0.666667,0.666667,0.888889,0.682508,0.698801,0,0,0,30.1111
114,25,1,5,2,2,3,4,3,0.888889,0.666667,0.888889,0.772629,0.655054,0,0,0,34.5556
114,26,1,1,2,2,3,3,4,0.777778,0.777778,0.777778,0.803578,0.806222,0,0,0,35.3333
114,27,1,1,2,2,3,3,4,0.777778,0.555556,0.777778,0.76566,0.417302,0,0,0,36.1111
114,28,1,5,1,1,2,1,2,0.333333,0.333333,0.555556,0.473111,0.425022,0,0,0,37.7778
114,29,1,1,1,1,2,2,1,0,0,0.777778,1.19903,0.540783,0,0,0,37.7778
114,30,1,1,2,1,4,4,3,0.222222,0.222222,0.222222,0.80442,0.41418,0,0,0,38
114,31,1,5,2,2,3,3,4,0.444444,0,0.444444,1.39808,0.430318,0,0,0,40.2222
114,32,1,1,1,1,2,2,1,0.333333,0.333333,0.555556,0.809423,0.534224,0,0,0,40.5556
114,33,1,1,2,2,3,4,3,0.555556,0.333333,0.555556,0.893552,0.643599,0,0,0,41.1111
114,34,1,1,2,2,3,4,3,0.777778,0.555556,0.777778,0.758138,0.367708,0,0,0,41.8889
114,35,2,1,1,2,1,1,2,0.666667,0.444444,0.666667,1.05355,0.631626,0,0,0,42.5556
114,36,2,1,2,1,4,3,4,0,0.555556,0.555556,0.389987,-1,0,1,1,42.5556
114,37,2,1,2,2,3,3,4,0,0.444444,0.444444,0.69467,-1,0,1,1,42.5556
114,38,2,5,2,1,4,3,4,0.555556,0.555556,0,0.473106,1.13025,0,0,0,45.3333
114,39,2,1,2,2,3,4,3,0.222222,0.333333,0.222222,0.835586,1.07311,0,0,0,45.5556
114,40,2,1,2,2,3,3,4,0,0,0.444444,0.728124,-1,0,1,1,45.5556
114,41,2,5,2,2,3,4,3,0,0.222222,0.222222,0.640916,-1,0,1,1,45.5556
114,42,2,5,2,1,4,4,3,0,0,0.111111,0.907368,0.394121,0,0,0,45.5556
114,43,2,1,2,2,3,4,3,0.222222,0.111111,0.222222,0.575503,0.68716,0,0,0,45.7778
114,44,2,5,1,2,1,1,2,0.222222,0.333333,0.222222,0.691467,0.795567,0,0,0,46.8889
114,45,2,5,1,1,2,1,2,0.333333,0.333333,0.111111,0.737574,0.902108,0,0,0,48.5556
114,46,2,5,2,1,4,4,3,0.333333,0.333333,0.111111,0.967509,0.493155,0,0,0,50.2222
114,47,2,5,2,2,3,3,4,0.333333,0.333333,0.333333,0.956022,0.335128,0,0,0,51.8889
114,48,2,5,1,2,1,2,1,0.222222,0.222222,0.222222,0.642141,0.464836,0,0,0,53
114,49,2,5,2,1,4,4,3,0.222222,0.222222,0.555556,0.512916,0.0332467,0,0,0,54.1111
114,50,2,1,1,1,2,2,1,0.222222,0.222222,0.666667,0.980777,0.511731,0,0,0,54.3333
114,51,2,5,2,2,3,4,3,0.888889,0.333333,0.888889,0.640261,0.663733,0,0,0,58.7778
114,52,2,5,2,2,3,4,3,0.777778,0.555556,0.777778,1.30696,0.408497,0,0,0,62.6667
114,53,2,5,2,2,3,4,3,1,0.444444,1,0.758135,0.470145,0,0,0,67.6667
114,54,2,5,1,1,2,1,2,0.555556,0.555556,0.888889,1.06963,0.532106,0,0,0,70.4444
114,55,2,1,1,2,1,2,1,0.777778,0.666667,0.777778,0.482646,0.404198,0,0,0,71.2222
114,56,2,5,2,2,3,4,3,0.666667,0.888889,0.666667,0.89718,0.345026,0,0,0,74.5556
114,57,2,1,2,2,3,3,4,1,0.555556,1,1.44733,0.371154,0,0,0,75.5556
114,58,2,5,2,2,3,3,4,0.888889,0.333333,0.888889,0.910959,0.378592,0,0,0,80
114,59,2,5,2,2,3,4,3,0.888889,0.666667,0.888889,1.14228,0.589962,0,0,0,84.4444
114,60,2,5,2,2,3,3,4,0.777778,0.555556,0.777778,0.670681,0.588871,0,0,0,88.3333
114,61,2,1,1,2,1,1,2,0.777778,0.555556,0.777778,0.727092,0.285406,0,0,0,89.1111
