"participant","signal","stimulus_intensity","response","confidence","accuracy"
"4",0,2,1,55,0
"4",0,6,0,50,1
"4",0,6,0,76,1
"4",0,2,0,62,1
"4",1,2,1,57,1
"4",1,2,1,60,1
"4",0,2,0,56,1
"4",1,2,1,77,1
"4",1,2,1,76,1
"4",0,2,1,47,0
"4",1,6,1,69,1
"4",1,6,0,76,0
"4",1,10,1,68,1
"4",0,10,1,68,0
"4",1,14,1,68,1
"4",0,14,0,76,1
"4",0,10,0,83,1
"4",1,10,1,84,1
"4",1,6,1,55,1
"4",1,6,0,63,0
"4",1,10,1,46,1
"4",1,10,1,79,1
"4",1,6,1,69,1
"4",1,6,1,56,1
"4",0,2,0,59,1
"4",1,2,0,70,0
"4",1,6,0,69,0
"4",1,10,1,36,1
"4",0,10,1,47,0
"4",0,14,0,65,1
"4",0,14,0,73,1
"4",0,10,0,66,1
"4",1,10,1,57,1
"4",0,6,0,64,1
"4",0,6,0,75,1
"4",0,2,1,48,0
"4",0,6,1,59,0
"4",0,10,0,46,1
"4",1,10,1,84,1
"4",0,6,0,40,1
"4",1,6,1,37,1
"4",1,2,1,77,1
"4",1,2,0,81,0
"4",1,6,1,38,1
"4",0,6,1,45,0
"4",1,10,1,68,1
"4",0,10,0,70,1
"4",0,6,0,53,1
"4",0,6,0,42,1
"4",1,2,0,27,0
"4",1,6,0,38,0
"4",1,10,1,40,1
"4",0,10,0,77,1
"4",1,6,1,73,1
"4",0,6,1,60,0
"4",1,10,1,31,1
"4",1,10,1,40,1
"4",1,6,1,35,1
"4",0,6,0,30,1
"4",1,2,1,38,1
"4",1,2,1,35,1
"4",1,2,1,37,1
"4",0,2,1,31,0
"4",1,6,1,59,1
"4",1,6,0,31,0
"4",1,10,1,37,1
"4",0,10,0,61,1
"4",0,6,0,66,1
"4",1,6,1,44,1
"4",1,2,1,59,1
"4",0,2,0,50,1
"4",0,2,1,37,0
"4",1,6,1,63,1
"4",0,6,0,62,1
"4",0,2,1,36,0
"4",0,6,1,36,0
"5",1,12,1,100,1
"5",1,12,1,70,1
"5",1,8,1,53,1
"5",0,8,0,55,1
"5",0,4,0,48,1
"5",0,4,1,58,0
"5",0,8,0,61,1
"5",1,8,1,62,1
"5",1,4,0,22,0
"5",0,8,0,52,1
"5",0,8,1,39,0
"5",1,12,1,70,1
"5",0,12,1,34,0
"5",0,16,0,41,1
"5",0,16,0,30,1
"5",0,12,0,72,1
"5",0,12,0,74,1
"5",0,8,0,61,1
"5",1,8,1,57,1
"5",1,4,0,56,0
"5",1,8,0,60,0
"5",0,12,1,61,0
"5",0,16,0,56,1
"5",1,16,1,91,1
"5",1,12,1,66,1
"5",0,12,0,77,1
"5",1,8,1,57,1
"5",1,8,0,62,0
"5",1,12,1,100,1
"5",0,12,0,0,1
"5",1,8,1,66,1
"5",1,8,1,100,1
"5",0,4,0,77,1
"5",0,4,0,67,1
"5",0,2,1,39,0
"5",0,6,1,76,0
"5",1,10,1,35,1
"5",0,10,0,83,1
"5",1,6,1,79,1
"5",1,6,1,65,1
"5",1,2,0,59,0
"5",0,6,0,82,1
"5",1,6,1,60,1
"5",1,2,1,39,1
"5",0,2,0,85,1
"5",0,2,1,93,0
"5",1,6,1,64,1
"5",0,6,0,78,1
"5",0,2,0,55,1
"5",1,2,0,29,0
"5",0,6,0,61,1
"5",0,6,1,68,0
"5",0,10,0,29,1
"5",1,14,1,62,1
"5",1,14,1,84,1
"5",1,10,1,57,1
"5",1,10,0,71,0
"5",1,14,1,58,1
"5",0,14,0,85,1
"5",1,10,1,84,1
"5",1,10,1,64,1
"5",0,6,0,73,1
"5",1,6,0,71,0
"5",0,10,0,72,1
"5",0,10,1,31,0
"5",1,14,0,18,0
"5",1,18,1,91,1
"5",0,18,0,100,1
"5",1,14,1,73,1
"5",1,14,0,0,0
"5",0,18,0,100,1
"5",0,18,0,100,1
"5",1,14,1,100,1
"5",1,14,1,35,1
"5",1,10,1,44,1
"5",1,10,1,100,1
"5",1,6,0,38,0
"5",1,10,1,40,1
"5",1,10,1,61,1
"6",1,8,1,28,1
"6",0,8,0,34,1
"6",1,4,1,32,1
"6",1,4,0,32,0
"6",1,8,1,35,1
"6",1,8,0,34,0
"6",1,12,0,30,0
"6",0,16,0,58,1
"6",0,16,0,55,1
"6",0,12,0,35,1
"6",0,12,0,54,1
"6",0,8,0,45,1
"6",0,8,0,52,1
"6",0,4,0,41,1
"6",0,4,0,36,1
"6",0,2,0,55,1
"6",0,2,1,39,0
"6",0,6,0,46,1
"6",1,6,1,51,1
"6",0,2,0,48,1
"6",1,2,0,53,0
"6",0,6,0,53,1
"6",0,6,0,72,1
"6",1,2,1,55,1
"6",1,2,1,41,1
"6",1,2,0,34,0
"6",1,6,0,45,0
"6",1,10,1,57,1
"6",1,10,0,45,0
"6",1,14,1,50,1
"6",0,14,0,47,1
"6",0,10,0,46,1
"6",1,10,1,65,1
"6",1,6,1,41,1
"6",0,6,0,60,1
"6",0,2,1,52,0
"6",0,6,1,46,0
"6",0,10,0,54,1
"6",0,10,0,56,1
"6",0,6,0,53,1
"6",1,6,1,69,1
"6",0,2,1,62,0
"6",1,6,1,66,1
"6",1,6,0,42,0
"6",1,10,1,41,1
"6",0,10,0,51,1
"6",0,6,0,62,1
"6",0,6,1,34,0
"6",0,10,0,69,1
"6",0,10,0,64,1
"6",0,6,1,39,0
"6",0,10,1,44,0
"6",0,14,0,69,1
"6",1,14,0,40,0
"6",0,18,0,66,1
"6",1,18,1,64,1
"6",0,14,0,62,1
"6",0,14,0,63,1
"6",1,10,1,39,1
"6",0,10,0,57,1
"6",1,6,1,63,1
"6",0,6,0,55,1
"6",0,2,1,37,0
"6",1,6,0,33,0
"6",0,10,0,60,1
"6",0,10,1,56,0
"6",0,14,0,71,1
"6",1,14,1,75,1
"6",1,10,1,52,1
"6",1,10,0,30,0
"6",0,14,0,59,1
"6",1,14,1,58,1
"6",1,10,1,70,1
"6",1,10,1,61,1
"6",1,6,1,48,1
"6",1,6,0,32,0
"6",1,10,1,72,1
"6",1,10,1,57,1
"6",0,6,0,66,1
"6",1,6,1,55,1
"7",0,4,0,66,1
"7",0,4,0,64,1
"7",1,2,1,58,1
"7",1,2,1,51,1
"7",1,2,1,43,1
"7",0,2,0,46,1
"7",0,2,1,43,0
"7",0,6,0,72,1
"7",0,6,0,66,1
"7",1,2,0,46,0
"7",1,6,0,44,0
"7",0,10,0,76,1
"7",0,10,0,66,1
"7",1,6,1,65,1
"7",1,6,0,64,0
"7",0,10,0,58,1
"7",0,10,0,55,1
"7",1,6,0,68,0
"7",0,10,0,79,1
"7",1,10,1,71,1
"7",1,6,0,67,0
"7",0,10,0,59,1
"7",0,10,0,47,1
"7",0,6,0,46,1
"7",1,6,1,57,1
"7",0,2,1,60,0
"7",0,6,1,37,0
"7",1,10,1,67,1
"7",1,10,0,54,0
"7",1,14,0,49,0
"7",0,18,1,17,0
"7",0,22,0,60,1
"7",1,22,1,70,1
"7",1,18,0,54,0
"7",1,22,1,72,1
